County,State,Income,Income Tax,Property Tax,Sales Tax,Auto Tax,Total Tax Paid
Alexandria,VA,25000,0,3053,645,432,4130
Falls Church,VA,25000,0,3053,645,383,4081
Arlington Co,VA,25000,0,3053,645,370,4068
Fairfax City,VA,25000,0,3053,645,298,3996
Fairfax Co,VA,25000,0,3053,560,313,3926
Montgomery Co,MD,25000,-371,3053,497,214,3393
PG Co,MD,25000,-419,3053,497,214,3345
Washington,DC,25000,-723,3053,749,219,3298
Falls Church,VA,50000,1468,2082,777,397,4724
Alexandria,VA,50000,1489,1664,777,448,4378
Fairfax Co,VA,50000,1489,1819,669,322,4299
Arlington Co,VA,50000,1497,1589,777,390,4253
Fairfax City,VA,50000,1498,1659,777,306,4240
PG Co,MD,50000,2119,1230,603,214,4166
Montgomery Co,MD,50000,2135,1033,603,214,3985
Washington,DC,50000,1557,759,946,219,3481
Falls Church,VA,75000,2423,3123,909,909,7364
Montgomery Co,MD,75000,3348,2630,707,374,7059
Alexandria,VA,75000,2350,2496,909,1042,6797
Arlington Co,VA,75000,2364,2384,909,953,6610
Fairfax Co,VA,75000,2357,2728,767,714,6566
PG Co,MD,75000,3392,2085,707,374,6558
Fairfax City,VA,75000,2377,2489,909,672,6447
Washington,DC,75000,2577,1437,1115,426,5555
Montgomery Co,MD,100000,5255,3507,846,512,10120
Falls Church,VA,100000,3671,4164,1066,997,9898
PG Co,MD,100000,5275,2941,846,512,9574
Alexandria,VA,100000,3711,3328,1066,1137,9242
Arlington Co,VA,100000,3724,3178,1066,1055,9023
Fairfax Co,VA,100000,3597,3638,911,803,8949
Fairfax City,VA,100000,3734,3319,1066,749,8868
Washington,DC,100000,4148,2116,1291,555,8110
Falls Church,VA,150000,5798,6246,1272,2309,15625
Montgomery Co,MD,150000,8301,5260,1056,486,15103
Alexandria,VA,150000,5858,4992,1272,2532,14654
PG Co,MD,150000,8349,4651,1056,486,14542
Arlington Co,VA,150000,5873,4767,1272,2494,14406
Fairfax Co,VA,150000,5862,5456,1097,1984,14399
Fairfax City,VA,150000,5899,4978,1272,1815,13964
Washington,DC,150000,7158,3472,1588,529,12747
