month,month_id,year_id,precip
Jan,1,2010,202
Feb,2,2010,83
Mar,3,2010,94
Apr,4,2010,132
May,5,2010,249
Jun,6,2010,238
Jul,7,2010,284
Aug,8,2010,279
Sep,9,2010,344
Oct,10,2010,230
Nov,11,2010,134
Dec,12,2010,68.5
Jan,13,2011,133
Feb,14,2011,138
Mar,15,2011,42.1
Apr,16,2011,34.3
May,17,2011,137
Jun,18,2011,198
Jul,19,2011,258
Aug,20,2011,198
Sep,21,2011,230
Oct,22,2011,435
Nov,23,2011,124
Dec,24,2011,148
Jan,25,2012,66
Feb,26,2012,56
Mar,27,2012,36
Apr,28,2012,89
May,29,2012,236
Jun,30,2012,139
Jul,31,2012,151
Aug,32,2012,319
Sep,33,2012,169
Oct,34,2012,264
Nov,35,2012,232
Dec,36,2012,62
Jan,37,2013,42
Feb,38,2013,88
Mar,39,2013,50
Apr,40,2013,130
May,41,2013,190
Jun,42,2013,220
Jul,43,2013,162
Aug,44,2013,260
Sep,45,2013,220
Oct,46,2013,240
Nov,47,2013,280
Dec,48,2013,115
Jan,49,2014,146
Feb,50,2014,34
Mar,51,2014,136
Apr,52,2014,34
May,53,2014,177
Jun,54,2014,187
Jul,55,2014,149
Aug,56,2014,197
Sep,57,2014,244
Oct,58,2014,200
Nov,59,2014,245
Dec,60,2014,119
Jan,61,2015,154
Feb,62,2015,47
Mar,63,2015,48
Apr,64,2015,29
May,65,2015,139
Jun,66,2015,160
Jul,67,2015,89
Aug,68,2015,189
Sep,69,2015,266
Oct,70,2015,322
Nov,71,2015,281
Dec,72,2015,166
